Journal,Publication Date,Title,Abstract,DOI
Nature,2025-Jun-16,Cryo-EM structure of a natural RNA nanocage.,"Long (>200 nucleotides) non-coding RNAs (lncRNAs) play important roles in diverse aspects of life. Over 20 classes of lncRNAs have been identified in bacteria and bacteriophages through comparative genomics analyses, but their biological functions remain largely unexplored<sup>1-3</sup>. Due to the large sizes, the structural determinants of most lncRNAs also remain uncharacterized. Here we report the structures of two natural RNA nanocages formed by the lncRNA ROOL (rumen-originating, ornate, large) found in bacterial and phage genomes. ~2.9 Å cryo-electron microscopy (cryo-EM) structures reveal that ROOL RNAs form an octameric nanocage with a 28-nm diameter and 20-nm axial length, whose hollow inside features poorly ordered regions. The octamer is stabilized by numerous tertiary and quaternary interactions, including triple-strand A-minors that we propose to name ""A-minor staples"". The structure of an isolated ROOL monomer at ~3.2-Å resolution indicates that nanocage assembly involves a strand-swapping mechanism resulting in quaternary kissing loops. Finally, we show that ROOL RNA fused to an RNA aptamer, tRNA, or microRNA retains its structure forming a nanocage with radially displayed cargos. Our findings therefore may enable the engineering of novel RNA nanocages as delivery vehicles for research and therapeutic applications.",https://doi.org/10.1038/s41586-025-09262-x
Nature,2025-Jun-12,An instantaneous voice-synthesis neuroprosthesis.,"Brain-computer interfaces (BCIs) have the potential to restore communication for people who have lost the ability to speak owing to a neurological disease or injury. BCIs have been used to translate the neural correlates of attempted speech into text<sup>1-3</sup>. However, text communication fails to capture the nuances of human speech, such as prosody and immediately hearing one's own voice. Here we demonstrate a brain-to-voice neuroprosthesis that instantaneously synthesizes voice with closed-loop audio feedback by decoding neural activity from 256 microelectrodes implanted into the ventral precentral gyrus of a man with amyotrophic lateral sclerosis and severe dysarthria. We overcame the challenge of lacking ground-truth speech for training the neural decoder and were able to accurately synthesize his voice. Along with phonemic content, we were also able to decode paralinguistic features from intracortical activity, enabling the participant to modulate his BCI-synthesized voice in real time to change intonation and sing short melodies. These results demonstrate the feasibility of enabling people with paralysis to speak intelligibly and expressively through a BCI.",https://doi.org/10.1038/s41586-025-09127-3
Nature,2025-Jun-11,Remote activation of place codes by gaze in a highly visual animal.,"Vision enables many animals to perform spatial reasoning from remote locations<sup>1</sup>. By viewing distant landmarks, animals recall spatial memories and plan future trajectories. Although these spatial functions depend on hippocampal place cells<sup>2,3</sup>, the relationship between place cells and active visual behaviour is unknown. Here we studied a highly visual animal, the chickadee, in a behaviour that required alternating between remote visual search and spatial navigation. We leveraged the head-directed nature of avian vision to track gaze in freely moving animals. We discovered a profound link between place coding and gaze. Place cells activated not only when the chickadee was in a specific location, but also when it simply gazed at that location from a distance. Gaze coding was precisely timed by fast ballistic head movements called 'head saccades'<sup>4,5</sup>. On each saccadic cycle, the hippocampus switched between encoding a prediction of what the bird was about to see and a reaction to what it actually saw. The temporal structure of these responses was coordinated by subclasses of interneurons that fired at different phases of the saccade. We suggest that place and gaze coding are components of a unified process by which the hippocampus represents the location that is relevant to the animal in each moment. This process allows the hippocampus to implement both local and remote spatial functions.",https://doi.org/10.1038/s41586-025-09101-z
Nature,2025-Jun-11,Metabolic adaptations direct cell fate during tissue regeneration.,"Although cell-fate specification is generally attributed to transcriptional regulation, emerging data also indicate a role for molecules linked with intermediary metabolism. For example, α-ketoglutarate (αKG), which fuels energy production and biosynthetic pathways in the tricarboxylic acid (TCA) cycle, is also a co-factor for chromatin-modifying enzymes<sup>1-3</sup>. Nevertheless, whether TCA-cycle metabolites regulate cell fate during tissue homeostasis and regeneration remains unclear. Here we show that TCA-cycle enzymes are expressed in the intestine in a heterogeneous manner, with components of the αKG dehydrogenase complex<sup>4-6</sup> upregulated in the absorptive lineage and downregulated in the secretory lineage. Using genetically modified mouse models and organoids, we reveal that 2-oxoglutarate dehydrogenase (OGDH), the enzymatic subunit of the αKG dehydrogenase complex, has a dual, lineage-specific role. In the absorptive lineage, OGDH is upregulated by HNF4 transcription factors to maintain the bioenergetic and biosynthetic needs of enterocytes. In the secretory lineage, OGDH is downregulated through a process that, when modelled, increases the levels of αKG and stimulates the differentiation of secretory cells. Consistent with this, in mouse models of colitis with impaired differentiation and maturation of secretory cells, inhibition of OGDH or supplementation with αKG reversed these impairments and promoted tissue healing. Hence, OGDH dependency is lineage-specific, and its regulation helps to direct cell fate, offering insights for targeted therapies in regenerative medicine.",https://doi.org/10.1038/s41586-025-09097-6
Nature,2025-Jun-11,Brain implantation of soft bioelectronics via embryonic development.,"Developing bioelectronics capable of stably tracking brain-wide, single-cell, millisecond-resolved neural activity in the developing brain is critical for advancing neuroscience and understanding neurodevelopmental disorders. During development, the three-dimensional structure of the vertebrate brain arises from a two-dimensional neural plate<sup>1,2</sup>. These large morphological changes have previously posed a challenge for implantable bioelectronics to reliably track neural activity throughout brain development<sup>3-9</sup>. Here we introduce a tissue-level-soft, submicrometre-thick mesh microelectrode array that integrates into the embryonic neural plate by leveraging the tissue's natural two-dimensional-to-three-dimensional reconfiguration. As organogenesis progresses, the mesh deforms, stretches and distributes throughout the brain, seamlessly integrating with neural tissue. Immunostaining, gene expression analysis and behavioural testing confirm no adverse effects on brain development or function. This embedded electrode array enables long-term, stable mapping of how single-neuron activity and population dynamics emerge and evolve during brain development. In axolotl models, it not only records neural electrical activity during regeneration but also modulates the process through electrical stimulation.",https://doi.org/10.1038/s41586-025-09106-8
Nature,2025-Jun-11,Molecular hydrogen in the extremely metal- and dust-poor galaxy Leo P.,"The James Webb Space Telescope (JWST) has revealed unexpectedly rapid galaxy assembly in the early Universe, in tension with galaxy-formation models<sup>1-3</sup>. At the low abundances of heavy elements (metals) and dust typical in early galaxies, the formation of molecular hydrogen and its connection to star formation remain poorly understood. Some models predict that stars form in predominantly atomic gas at low metallicity<sup>4,5</sup>, in contrast to molecular gas at higher metallicities<sup>6</sup>. Despite repeated searches<sup>7</sup>, cold molecular gas has not yet been observed in any galaxy below 7% solar metallicity<sup>8</sup>. Here we report the detection of rotational emission from molecular hydrogen near the only O-type star in the 3% solar metallicity galaxy Leo P (refs. <sup>9,10</sup>) with JWST's Mid-Infrared Instrument/Medium Resolution Spectroscopy (MIRI-MRS) observing mode. These observations place a lower limit on Leo P's molecular gas content, and modelling of the photodissociation region illuminated by the O star suggests a compact (≤2.6 pc radius), approximately 10<sup>4</sup> M<sub>⊙</sub> cloud. We also report a stringent upper limit on carbon monoxide (CO) emission from a deep search with the Atacama Large Millimeter/submillimeter Array (ALMA). Our results highlight the power of MIRI-MRS to characterize even small ultraviolet-illuminated molecular clouds in the low-metallicity regime, in which the traditional observational tracer CO is uninformative. This discovery pushes the limiting metallicity at which molecular gas is present in detectable quantities more than a factor of two lower, providing crucial empirical guidance for models of the interstellar medium in early galaxies.",https://doi.org/10.1038/s41586-025-09115-7
Nature,2025-Jun-11,Targeting GRPR for sex hormone-dependent cancer after loss of E-cadherin.,"Sex inequalities in cancer are well documented, but the current limited understanding is hindering advances in precision medicine and therapies<sup>1</sup>. Consideration of ethnicity, age and sex is essential for the management of cancer patients because they underlie important differences in both incidence and response to treatment<sup>2,3</sup>. Age-related hormone production, which is a consistent divergence between the sexes, is underestimated in cancers that are not recognized as being hormone dependent<sup>4-6</sup>. Here, we show that premenopausal women have increased vulnerability to cancers, and we identify the cell-cell adhesion molecule E-cadherin as a crucial component in the oestrogen response in various cancers, including melanoma. In a mouse model of melanoma, we discovered an oestrogen-sensitizing pathway connecting E-cadherin, β-catenin, oestrogen receptor-α and GRPR that promotes melanoma aggressiveness in women. Inhibiting this pathway by targeting GRPR or oestrogen receptor-α reduces metastasis in mice, indicating its therapeutic potential. Our study introduces a concept linking hormone sensitivity and tumour phenotype in which hormones affect cell phenotype and aggressiveness. We have identified an integrated pro-tumour pathway in women and propose that targeting a G-protein-coupled receptor with drugs not commonly used for cancer treatment could be more effective in treating E-cadherin-dependent cancers in women. This study emphasizes the importance of sex-specific factors in cancer management and offers hope of improving outcomes in various cancers.",https://doi.org/10.1038/s41586-025-09111-x
Nature,2025-Jun-11,A neutral-atom Hubbard quantum simulator in the cryogenic regime.,"Ultracold fermionic atoms in optical lattices offer pristine realizations of Hubbard models<sup>1</sup>, which are fundamental to modern condensed-matter physics<sup>2,3</sup>. Despite notable advancements<sup>4-6</sup>, the accessible temperatures in these optical lattice material analogues are still too high to address many open problems<sup>7-10</sup>. Here we demonstrate a several-fold reduction in temperature<sup>6,11-13</sup>, bringing large-scale quantum simulations of the Hubbard model into an entirely new regime. This is accomplished by transforming a low-entropy product state into strongly correlated states of interest via dynamic control of the model parameters<sup>14,15</sup>, which is extremely challenging to simulate classically<sup>10</sup>. At half-filling, the long-range antiferromagnetic order is close to saturation, leading to a temperature of <math xmlns=""http://www.w3.org/1998/Math/MathML""><mrow><mi>T</mi> <mo>/</mo> <mi>t</mi> <mo>=</mo> <mn>0.0</mn> <msubsup><mrow><mn>5</mn></mrow> <mrow><mo>-</mo> <mn>0.05</mn></mrow> <mrow><mo>+</mo> <mn>0.06</mn></mrow> </msubsup> </mrow> </math> based on comparisons with numerically exact simulations. Doped away from half-filling, it is exceedingly challenging to realize systematically accurate and predictive numerical simulations<sup>9</sup>. Importantly, we are able to use quantum simulation to identify a new pathway for achieving similarly low temperatures with doping. This is confirmed by comparing short-range spin correlations to state-of-the-art, but approximate, constrained-path auxiliary-field quantum Monte Carlo simulations<sup>16-18</sup>. Compared with the cuprates<sup>2,19,20</sup>, the reported temperatures correspond to a reduction from far above to below room temperature, at which physics such as the pseudogap and stripe phases may be expected<sup>3,19,21-24</sup>. Our work opens the door to quantum simulations that solve open questions in material science, develop synergies with numerical methods and theoretical studies, and lead to discoveries of new physics<sup>8,10</sup>.",https://doi.org/10.1038/s41586-025-09112-w
Nature,2025-Jun-11,SP140-RESIST pathway regulates interferon mRNA stability and antiviral immunity.,"Type I interferons are essential for antiviral immunity<sup>1</sup> but must be tightly regulated<sup>2</sup>. The conserved transcriptional repressor SP140 inhibits interferon-β (Ifnb1) expression through an unknown mechanism<sup>3,4</sup>. Here we report that SP140 does not directly repress Ifnb1 transcription. Instead, SP140 negatively regulates Ifnb1 mRNA stability by directly repressing the expression of a previously uncharacterized regulator that we call RESIST (regulated stimulator of interferon via stabilization of transcript; previously annotated as annexin 2 receptor). RESIST promotes Ifnb1 mRNA stability by counteracting Ifnb1 mRNA destabilization mediated by the tristetraprolin (TTP) family of RNA-binding proteins and the CCR4-NOT deadenylase complex. SP140 localizes within punctate structures called nuclear bodies that have important roles in silencing DNA-virus gene expression in the nucleus<sup>3</sup>. Consistent with this observation, we find that SP140 inhibits replication of the gammaherpesvirus MHV68. The antiviral activity of SP140 is independent of its ability to regulate Ifnb1. Our results establish dual antiviral and interferon regulatory functions for SP140. We propose that SP140 and RESIST participate in antiviral effector-triggered immunity<sup>5,6</sup>.",https://doi.org/10.1038/s41586-025-09152-2
Nature,2025-Jun-11,A fully open AI foundation model applied to chest radiography.,"Chest radiography frequently serves as baseline imaging for most lung diseases<sup>1</sup>. Deep learning has great potential for automating the interpretation of chest radiography<sup>2</sup>. However, existing chest radiographic deep learning models are limited in diagnostic scope, generalizability, adaptability, robustness and extensibility. To overcome these limitations, we have developed Ark<sup>+</sup>, a foundation model applied to chest radiography and pretrained by cyclically accruing and reusing the knowledge from heterogeneous expert labels in numerous datasets. Ark<sup>+</sup> excels in diagnosing thoracic diseases. It expands the diagnostic scope and addresses potential misdiagnosis. It can adapt to evolving diagnostic needs and respond to novel diseases. It can learn rare conditions from a few samples and transfer to new diagnostic settings without training. It tolerates data biases and long-tailed distributions, and it supports federated learning to preserve privacy. All codes and pretrained models have been released, so that Ark<sup>+</sup> is open for fine-tuning, local adaptation and improvement. It is extensible to several modalities. Thus, it is a foundation model for medical imaging. The exceptional capabilities of Ark<sup>+</sup> stem from our insight: aggregating various datasets diversifies the patient populations and accrues knowledge from many experts to yield unprecedented performance while reducing annotation costs<sup>3</sup>. The development of Ark<sup>+</sup> reveals that open models trained by accruing and reusing knowledge from heterogeneous expert annotations with a multitude of public (big or small) datasets can surpass the performance of proprietary models trained on large data. We hope that our findings will inspire more researchers to share code and datasets or federate privacy-preserving data to create open foundation models with diverse, global expertise and patient populations, thus accelerating open science and democratizing AI for medicine.",https://doi.org/10.1038/s41586-025-09079-8
