Journal,Publication Date,Title,Abstract,DOI
{'ISME Commun.'},2023-Aug-29,Competitive and substrate limited environments drive metabolic heterogeneity for comammox Nitrospira.,"Nitrospira has been revealed as a high versatile genus. Although previously considered only responsible for the conversion of nitrite to nitrate, now we know that Nitrospira can perform complete ammonia oxidation to nitrate too (comammox). Comammox activity was firstly reported as dominant in extremely limited oxygen environments, where anaerobic ammonia oxidation was also occurring (anammox). To explain the comammox selection, we developed an Individual-based Model able to describe Nitrospira and anammox growth in suspended flocs assembled in a dynamic nitrogen and oxygen-limiting environment. All known and hypothesized nitrogen transformations of Nitrospira were considered: ammonia and nitrite oxidation, comammox, nitrate-reducing ammonia oxidation, and anaerobic nitrite-reducing ammonia oxidation. Through bioenergetics analysis, the growth yield associated to each activity was estimated. The other kinetic parameters necessary to describe growth were calibrated according to the reported literature values. Our modeling results suggest that even extremely low oxygen concentrations (~1.0 µM) allow for a proportional growth of anammox versus Nitrospira similar to the one experimentally observed. The strong oxygen limitation was followed by a limitation of ammonia and nitrite, because anammox, without strong competitors, were able to grow faster than Nitrospira depleting the environment in nitrogen. These substrate limitations created an extremely competitive environment that proved to be decisive in the community assembly of Nitrospira and anammox. Additionally, a diversity of metabolic activities for Nitrospira was observed in all tested conditions, which in turn, explained the transient nitrite accumulation observed in aerobic environments with higher ammonia availability.",https://doi.org/10.1038/s43705-023-00288-8
{'ISME Commun.'},2023-Aug-28,Nodulation number tempers the relative importance of stochastic processes in the assembly of soybean root-associated communities.,"Identifying the ecological forces that structure root-associated microbial communities is an essential step toward more sustainable agriculture. Legumes are widely utilized as model plants to study selective forces and their functioning in plant-microbial interactions owing to their ability to establish mutualism with rhizobia. Root nodules act as symbiotic organs to optimize the cost-benefit balance in this mutualistic relationship by modulating the number of nodules. However, it is not known whether the number of nodules is related to the structure of root-associated bacterial communities. Here, the root-associated bacterial communities of soybean grown in native soil by means of soybean cultivars with super- or normal nodulation were investigated across four developmental stages. We compared ecological processes between communities and found decreased relative importance of neutral processes for super-nodulating soybean, although the overall structures resembled those of normal-nodulating soybean. We identified the generalist core bacterial populations in each root-associated compartment, that are shared across root-associated niches, and persist through developmental stages. Within core bacterial species, the relative abundances of bacterial species in the rhizosphere microbiome were linked to host-plant functional traits and can be used to predict these traits from microbes using machine learning algorithms. These findings broaden the comprehensive understanding of the ecological forces and associations of microbiotas in various root-associated compartments and provide novel insights to integrate beneficial plant microbiomes into agricultural production to enhance plant performance.",https://doi.org/10.1038/s43705-023-00296-8
{'ISME Commun.'},2023-Aug-28,Identifying and tracking mobile elements in evolving compost communities yields insights into the nanobiome.,"Microbial evolution is driven by rapid changes in gene content mediated by horizontal gene transfer (HGT). While mobile genetic elements (MGEs) are important drivers of gene flux, the nanobiome-the zoo of Darwinian replicators that depend on microbial hosts-remains poorly characterised. New approaches are necessary to increase our understanding beyond MGEs shaping individual populations, towards their impacts on complex microbial communities. A bioinformatic pipeline (xenoseq) was developed to cross-compare metagenomic samples from microbial consortia evolving in parallel, aimed at identifying MGE dissemination, which was applied to compost communities which underwent periodic mixing of MGEs. We show that xenoseq can distinguish movement of MGEs from demographic changes in community composition that otherwise confounds identification, and furthermore demonstrate the discovery of various unexpected entities. Of particular interest was a nanobacterium of the candidate phylum radiation (CPR) which is closely related to a species identified in groundwater ecosystems (Candidatus Saccharibacterium), and appears to have a parasitic lifestyle. We also highlight another prolific mobile element, a 313 kb plasmid hosted by a Cellvibrio lineage. The host was predicted to be capable of nitrogen fixation, and acquisition of the plasmid coincides with increased ammonia production. Taken together, our data show that new experimental strategies combined with bioinformatic analyses of metagenomic data stand to provide insight into the nanobiome as a driver of microbial community evolution.",https://doi.org/10.1038/s43705-023-00294-w
{'ISME Commun.'},2023-Aug-25,Vitamin B<sub>12</sub> conveys a protective advantage to phycosphere-associated bacteria at high temperatures.,"Many marine microbes require vitamin B<sub>12</sub> (cobalamin) but are unable to synthesize it, necessitating reliance on other B<sub>12</sub>-producing microbes. Thus, phytoplankton and bacterioplankton community dynamics can partially depend on the production and release of a limiting resource by members of the same community. We tested the impact of temperature and B<sub>12</sub> availability on the growth of two bacterial taxa commonly associated with phytoplankton: Ruegeria pomeroyi, which produces B<sub>12</sub> and fulfills the B<sub>12</sub> requirements of some phytoplankton, and Alteromonas macleodii, which does not produce B<sub>12</sub> but also does not strictly require it for growth. For B<sub>12</sub>-producing R. pomeroyi, we further tested how temperature influences B<sub>12</sub> production and release. Access to B<sub>12</sub> significantly increased growth rates of both species at the highest temperatures tested (38 °C for R. pomeroyi, 40 °C for A. macleodii) and A. macleodii biomass was significantly reduced when grown at high temperatures without B<sub>12</sub>, indicating that B<sub>12</sub> is protective at high temperatures. Moreover, R. pomeroyi produced more B<sub>12</sub> at warmer temperatures but did not release detectable amounts of B<sub>12</sub> at any temperature tested. Results imply that increasing temperatures and more frequent marine heatwaves with climate change will influence microbial B<sub>12</sub> dynamics and could interrupt symbiotic resource sharing.",https://doi.org/10.1038/s43705-023-00298-6
{'ISME Commun.'},2023-Aug-24,MArVD2: a machine learning enhanced tool to discriminate between archaeal and bacterial viruses in viral datasets.,"Our knowledge of viral sequence space has exploded with advancing sequencing technologies and large-scale sampling and analytical efforts. Though archaea are important and abundant prokaryotes in many systems, our knowledge of archaeal viruses outside of extreme environments is limited. This largely stems from the lack of a robust, high-throughput, and systematic way to distinguish between bacterial and archaeal viruses in datasets of curated viruses. Here we upgrade our prior text-based tool (MArVD) via training and testing a random forest machine learning algorithm against a newly curated dataset of archaeal viruses. After optimization, MArVD2 presented a significant improvement over its predecessor in terms of scalability, usability, and flexibility, and will allow user-defined custom training datasets as archaeal virus discovery progresses. Benchmarking showed that a model trained with viral sequences from the hypersaline, marine, and hot spring environments correctly classified 85% of the archaeal viruses with a false detection rate below 2% using a random forest prediction threshold of 80% in a separate benchmarking dataset from the same habitats.",https://doi.org/10.1038/s43705-023-00295-9
{'ISME Commun.'},2023-Aug-23,"Integrating microbial community properties, biomass and necromass to predict cropland soil organic carbon.","Manipulating microorganisms to increase soil organic carbon (SOC) in croplands remains a challenge. Soil microbes are important drivers of SOC sequestration, especially via their necromass accumulation. However, microbial parameters are rarely used to predict cropland SOC stocks, possibly due to uncertainties regarding the relationships between microbial carbon pools, community properties and SOC. Herein we evaluated the microbial community properties (diversity and network complexity), microbial carbon pools (biomass and necromass carbon) and SOC in 468 cropland soils across northeast China. We found that not only microbial necromass carbon but also microbial community properties (diversity and network complexity) and biomass carbon were correlated with SOC. Microbial biomass carbon and diversity played more important role in predicting SOC for maize, while microbial network complexity was more important for rice. Models to predict SOC performed better when the microbial community and microbial carbon pools were included simultaneously. Taken together our results suggest that microbial carbon pools and community properties influence SOC accumulation in croplands, and management practices that improve these microbial parameters may increase cropland SOC levels.",https://doi.org/10.1038/s43705-023-00300-1
{'ISME Commun.'},2023-Aug-19,Comparative genomics unveils extensive genomic variation between populations of Listeria species in natural and food-associated environments.,"Comprehending bacterial genomic variation linked to distinct environments can yield novel insights into mechanisms underlying differential adaptation and transmission of microbes across environments. Gaining such insights is particularly crucial for pathogens as it benefits public health surveillance. However, the understanding of bacterial genomic variation is limited by a scarcity of investigations in genomic variation coupled with different ecological contexts. To address this limitation, we focused on Listeria, an important bacterial genus for food safety that includes the human pathogen L. monocytogenes, and analyzed a large-scale genomic dataset collected by us from natural and food-associated environments across the United States. Through comparative genomics analyses on 449 isolates from the soil and 390 isolates from agricultural water and produce processing facilities representing L. monocytogenes, L. seeligeri, L. innocua, and L. welshimeri, we find that the genomic profiles strongly differ by environments within each species. This is supported by the environment-associated subclades and differential presence of plasmids, stress islands, and accessory genes involved in cell envelope biogenesis and carbohydrate transport and metabolism. Core genomes of Listeria species are also strongly associated with environments and can accurately predict isolation sources at the lineage level in L. monocytogenes using machine learning. We find that the large environment-associated genomic variation in Listeria appears to be jointly driven by soil property, climate, land use, and accompanying bacterial species, chiefly representing Actinobacteria and Proteobacteria. Collectively, our data suggest that populations of Listeria species have genetically adapted to different environments, which may limit their transmission from natural to food-associated environments.",https://doi.org/10.1038/s43705-023-00293-x
{'ISME Commun.'},2023-Aug-19,Inter-comparison of marine microbiome sampling protocols.,"Research on marine microbial communities is growing, but studies are hard to compare because of variation in seawater sampling protocols. To help researchers in the inter-comparison of studies that use different seawater sampling methodologies, as well as to help them design future sampling campaigns, we developed the EuroMarine Open Science Exploration initiative (EMOSE). Within the EMOSE framework, we sampled thousands of liters of seawater from a single station in the NW Mediterranean Sea (Service d'Observation du Laboratoire Arago [SOLA], Banyuls-sur-Mer), during one single day. The resulting dataset includes multiple seawater processing approaches, encompassing different material-type kinds of filters (cartridge membrane and flat membrane), three different size fractionations (>0.22 µm, 0.22-3 µm, 3-20 µm and >20 µm), and a number of different seawater volumes ranging from 1 L up to 1000 L. We show that the volume of seawater that is filtered does not have a significant effect on prokaryotic and protist diversity, independently of the sequencing strategy. However, there was a clear difference in alpha and beta diversity between size fractions and between these and ""whole water"" (with no pre-fractionation). Overall, we recommend care when merging data from datasets that use filters of different pore size, but we consider that the type of filter and volume should not act as confounding variables for the tested sequencing strategies. To the best of our knowledge, this is the first time a publicly available dataset effectively allows for the clarification of the impact of marine microbiome methodological options across a wide range of protocols, including large-scale variations in sampled volume.",https://doi.org/10.1038/s43705-023-00278-w
{'ISME Commun.'},2023-Aug-18,A comparative study reveals the relative importance of prokaryotic and eukaryotic proton pump rhodopsins in a subtropical marginal sea.,"Proton-pump rhodopsin (PPR) in marine microbes can convert solar energy to bioavailable chemical energy. Whereas bacterial PPR has been extensively studied, counterparts in microeukaryotes are less explored, and the relative importance of the two groups is poorly understood. Here, we sequenced whole-assemblage metatranscriptomes and investigated the diversity and expression dynamics of PPR in microbial eukaryotes and prokaryotes at a continental shelf and a slope site in the northern South China Sea. Data showed the whole PPRs transcript pool was dominated by Proteorhodopsins and Xanthorhodopsins, followed by Bacteriorhodopsin-like proteins, dominantly contributed by prokaryotes both in the number and expression levels of PPR unigenes, although at the continental slope station, microeukaryotes and prokaryotes contributed similarly in transcript abundance. Furthermore, eukaryotic PPRs are mainly contributed by dinoflagellates and showed significant correlation with nutrient concentrations. Green light-absorbing PPRs were mainly distributed in >3 μm organisms (including microeukaryotes and their associated bacteria), especially at surface layer at the shelf station, whereas blue light-absorbing PPRs dominated the <3 μm (mainly bacterial) communities at both study sites, especially at deeper layers at the slope station. Our study portrays a comparative PPR genotype and expression landscape for prokaryotes and eukaryotes in a subtropical marginal sea, suggesting PPR's role in niche differentiation and adaptation among marine microbes.",https://doi.org/10.1038/s43705-023-00292-y
{'ISME Commun.'},2023-Aug-18,Discovery of a novel bacterial class with the capacity to drive sulfur cycling and microbiome structure in a paleo-ocean analog.,"Uncultivated microbial taxa represent a large fraction of global microbial diversity and likely drive numerous biogeochemical transformations in natural ecosystems. Geographically isolated, polar ecosystems are complex microbial biomes and refuges of underexplored taxonomic and functional biodiversity. Combining amplicon sequencing with genome-centric metagenomic analysis of samples from one of the world's northernmost lakes (Lake A, Ellesmere Island, Canadian High Arctic), we identified a novel bacterial taxon that dominates in the bottom layer of anoxic, sulfidic, relict sea water that was isolated from the Arctic Ocean some 3000 years ago. Based on phylogenomic comparative analyses, we propose that these bacteria represent a new Class within the poorly described Electryoneota/AABM5-125-24 candidate phylum. This novel class, for which we propose the name Tariuqbacteria, may be either a relict of ancient ocean conditions or endemic to this High Arctic system, provisionally providing a rare example of high-taxonomy level endemism. Consistent with the geochemistry of the bottom water, the genetic composition of the Candidatus Tariuqbacter genome revealed a strictly anaerobic lifestyle with the potential for sulfate and sulfur reduction, a versatile carbon metabolism and the capability to eliminate competing bacteria through methylarsenite production, suggesting an allelochemical influence on microbiome structure by this planktonic microbe.",https://doi.org/10.1038/s43705-023-00287-9
