Journal,Publication Date,Title,Abstract,DOI
Nature,2024-May,Copper-catalysed dehydrogenation or lactonization of C(sp<sup>3</sup>)-H bonds.,"Cytochrome P450 enzymes are known to catalyse bimodal oxidation of aliphatic acids via radical intermediates, which partition between pathways of hydroxylation and desaturation<sup>1,2</sup>. Developing analogous catalytic systems for remote C-H functionalization remains a significant challenge<sup>3-5</sup>. Here, we report the development of Cu(I)-catalysed bimodal dehydrogenation/lactonization reactions of synthetically common N-methoxyamides through radical abstractions of the γ-aliphatic C-H bonds. The feasibility of switching from dehydrogenation to lactonization is also demonstrated by altering reaction conditions. The use of a readily available amide as both radical precursor and internal oxidant allows for the development of redox-neutral C-H functionalization reactions with methanol as the sole side product. These C-H functionalization reactions using a Cu(I) catalyst with loading as low as 0.5 mol.% is applied to the diversification of a wide range of aliphatic acids including drug molecules and natural products. The exceptional compatibility of this catalytic system with a wide range of oxidatively sensitive functionality demonstrates the unique advantage of using a simple amide substrate as a mild internal oxidant.",https://doi.org/10.1038/s41586-024-07341-z
Nature,2024-May,Climate velocities and species tracking in global mountain regions.,"Mountain ranges contain high concentrations of endemic species and are indispensable refugia for lowland species that are facing anthropogenic climate change<sup>1,2</sup>. Forecasting biodiversity redistribution hinges on assessing whether species can track shifting isotherms as the climate warms<sup>3,4</sup>. However, a global analysis of the velocities of isotherm shifts along elevation gradients is hindered by the scarcity of weather stations in mountainous regions<sup>5</sup>. Here we address this issue by mapping the lapse rate of temperature (LRT) across mountain regions globally, both by using satellite data (SLRT) and by using the laws of thermodynamics to account for water vapour<sup>6</sup> (that is, the moist adiabatic lapse rate (MALRT)). By dividing the rate of surface warming from 1971 to 2020 by either the SLRT or the MALRT, we provide maps of vertical isotherm shift velocities. We identify 17 mountain regions with exceptionally high vertical isotherm shift velocities (greater than 11.67 m per year for the SLRT; greater than 8.25 m per year for the MALRT), predominantly in dry areas but also in wet regions with shallow lapse rates; for example, northern Sumatra, the Brazilian highlands and southern Africa. By linking these velocities to the velocities of species range shifts, we report instances of close tracking in mountains with lower climate velocities. However, many species lag behind, suggesting that range shift dynamics would persist even if we managed to curb climate-change trajectories. Our findings are key for devising global conservation strategies, particularly in the 17 high-velocity mountain regions that we have identified.",https://doi.org/10.1038/s41586-024-07264-9
Nature,2024-May,Long-term continuous ammonia electrosynthesis.,"Ammonia is crucial as a fertilizer and in the chemical industry and is considered to be a carbon-free fuel<sup>1</sup>. Ammonia electrosynthesis from nitrogen under ambient conditions offers an attractive alternative to the Haber-Bosch process<sup>2,3</sup>, and lithium-mediated nitrogen reduction represents a promising approach to continuous-flow ammonia electrosynthesis, coupling nitrogen reduction with hydrogen oxidation<sup>4</sup>. However, tetrahydrofuran, which is commonly used as a solvent, impedes long-term ammonia production owing to polymerization and volatility problems. Here we show that a chain-ether-based electrolyte enables long-term continuous ammonia synthesis. We find that a chain-ether-based solvent exhibits non-polymerization properties and a high boiling point (162 °C) and forms a compact solid-electrolyte interphase layer on the gas diffusion electrode, facilitating ammonia release in the gas phase and ensuring electrolyte stability. We demonstrate 300 h of continuous operation in a flow electrolyser with a 25 cm<sup>2</sup> electrode at 1 bar pressure and room temperature, and achieve a current-to-ammonia efficiency of 64 ± 1% with a gas-phase ammonia content of approximately 98%. Our results highlight the crucial role of the solvent in long-term continuous ammonia synthesis.",https://doi.org/10.1038/s41586-024-07276-5
Nature,2024-May,Structural insights into vesicular monoamine storage and drug interactions.,"Biogenic monoamines-vital transmitters orchestrating neurological, endocrinal and immunological functions<sup>1-5</sup>-are stored in secretory vesicles by vesicular monoamine transporters (VMATs) for controlled quantal release<sup>6,7</sup>. Harnessing proton antiport, VMATs enrich monoamines around 10,000-fold and sequester neurotoxicants to protect neurons<sup>8-10</sup>. VMATs are targeted by an arsenal of therapeutic drugs and imaging agents to treat and monitor neurodegenerative disorders, hypertension and drug addiction<sup>1,8,11-16</sup>. However, the structural mechanisms underlying these actions remain unclear. Here we report eight cryo-electron microscopy structures of human VMAT1 in unbound form and in complex with four monoamines (dopamine, noradrenaline, serotonin and histamine), the Parkinsonism-inducing MPP<sup>+</sup>, the psychostimulant amphetamine and the antihypertensive drug reserpine. Reserpine binding captures a cytoplasmic-open conformation, whereas the other structures show a lumenal-open conformation stabilized by extensive gating interactions. The favoured transition to this lumenal-open state contributes to monoamine accumulation, while protonation facilitates the cytoplasmic-open transition and concurrently prevents monoamine binding to avoid unintended depletion. Monoamines and neurotoxicants share a binding pocket that possesses polar sites for specificity and a wrist-and-fist shape for versatility. Variations in this pocket explain substrate preferences across the SLC18 family. Overall, these structural insights and supporting functional studies elucidate the mechanism of vesicular monoamine transport and provide the basis to develop therapeutics for neurodegenerative diseases and substance abuse.",https://doi.org/10.1038/s41586-024-07290-7
Nature,2024-May,Time-resolved cryo-EM of G-protein activation by a GPCR.,"G-protein-coupled receptors (GPCRs) activate heterotrimeric G proteins by stimulating guanine nucleotide exchange in the Gα subunit<sup>1</sup>. To visualize this mechanism, we developed a time-resolved cryo-EM approach that examines the progression of ensembles of pre-steady-state intermediates of a GPCR-G-protein complex. By monitoring the transitions of the stimulatory G<sub>s</sub> protein in complex with the β<sub>2</sub>-adrenergic receptor at short sequential time points after GTP addition, we identified the conformational trajectory underlying G-protein activation and functional dissociation from the receptor. Twenty structures generated from sequential overlapping particle subsets along this trajectory, compared to control structures, provide a high-resolution description of the order of main events driving G-protein activation in response to GTP binding. Structural changes propagate from the nucleotide-binding pocket and extend through the GTPase domain, enacting alterations to Gα switch regions and the α5 helix that weaken the G-protein-receptor interface. Molecular dynamics simulations with late structures in the cryo-EM trajectory support that enhanced ordering of GTP on closure of the α-helical domain against the nucleotide-bound Ras-homology domain correlates with α5 helix destabilization and eventual dissociation of the G protein from the GPCR. These findings also highlight the potential of time-resolved cryo-EM as a tool for mechanistic dissection of GPCR signalling events.",https://doi.org/10.1038/s41586-024-07153-1
Nature,2024-May,Structures and activation mechanism of the Gabija anti-phage system.,"Prokaryotes have evolved intricate innate immune systems against phage infection<sup>1-7</sup>. Gabija is a highly widespread prokaryotic defence system that consists of two components, GajA and GajB<sup>8</sup>. GajA functions as a DNA endonuclease that is inactive in the presence of ATP<sup>9</sup>. Here, to explore how the Gabija system is activated for anti-phage defence, we report its cryo-electron microscopy structures in five states, including apo GajA, GajA in complex with DNA, GajA bound by ATP, apo GajA-GajB, and GajA-GajB in complex with ATP and Mg<sup>2+</sup>. GajA is a rhombus-shaped tetramer with its ATPase domain clustered at the centre and the topoisomerase-primase (Toprim) domain located peripherally. ATP binding at the ATPase domain stabilizes the insertion region within the ATPase domain, keeping the Toprim domain in a closed state. Upon ATP depletion by phages, the Toprim domain opens to bind and cleave the DNA substrate. GajB, which docks on GajA, is activated by the cleaved DNA, ultimately leading to prokaryotic cell death. Our study presents a mechanistic landscape of Gabija activation.",https://doi.org/10.1038/s41586-024-07270-x
Nature,2024-May,The molecular basis of sugar detection by an insect taste receptor.,"Animals crave sugars because of their energy potential and the pleasurable sensation of tasting sweetness. Yet all sugars are not metabolically equivalent, requiring mechanisms to detect and differentiate between chemically similar sweet substances. Insects use a family of ionotropic gustatory receptors to discriminate sugars<sup>1</sup>, each of which is selectively activated by specific sweet molecules<sup>2-6</sup>. Here, to gain insight into the molecular basis of sugar selectivity, we determined structures of Gr9, a gustatory receptor from the silkworm Bombyx mori (BmGr9), in the absence and presence of its sole activating ligand, D-fructose. These structures, along with structure-guided mutagenesis and functional assays, illustrate how D-fructose is enveloped by a ligand-binding pocket that precisely matches the overall shape and pattern of chemical groups in D-fructose. However, our computational docking and experimental binding assays revealed that other sugars also bind BmGr9, yet they are unable to activate the receptor. We determined the structure of BmGr9 in complex with one such non-activating sugar, L-sorbose. Although both sugars bind a similar position, only D-fructose is capable of engaging a bridge of two conserved aromatic residues that connects the pocket to the pore helix, inducing a conformational change that allows the ion-conducting pore to open. Thus, chemical specificity does not depend solely on the selectivity of the ligand-binding pocket, but it is an emergent property arising from a combination of receptor-ligand interactions and allosteric coupling. Our results support a model whereby coarse receptor tuning is derived from the size and chemical characteristics of the pocket, whereas fine-tuning of receptor activation is achieved through the selective engagement of an allosteric pathway that regulates ion conduction.",https://doi.org/10.1038/s41586-024-07255-w
Nature,2024-May,A recently quenched galaxy 700 million years after the Big Bang.,"Local and low-redshift (z < 3) galaxies are known to broadly follow a bimodal distribution: actively star-forming galaxies with relatively stable star-formation rates and passive systems. These two populations are connected by galaxies in relatively slow transition. By contrast, theory predicts that star formation was stochastic at early cosmic times and in low-mass systems<sup>1-4</sup>. These galaxies transitioned rapidly between starburst episodes and phases of suppressed star formation, potentially even causing temporary quiescence-so-called mini-quenching events<sup>5,6</sup>. However, the regime of star-formation burstiness is observationally highly unconstrained. Directly observing mini-quenched galaxies in the primordial Universe is therefore of utmost importance to constrain models of galaxy formation and transformation<sup>7,8</sup>. Early quenched galaxies have been identified out to redshift z < 5 (refs. <sup>9-12</sup>) and these are all found to be massive (M<sub>⋆</sub> > 10<sup>10</sup> M<sub>⊙</sub>) and relatively old. Here we report a (mini-)quenched galaxy at z = 7.3, when the Universe was only 700 Myr old. The JWST/NIRSpec spectrum is very blue (U-V = 0.16 ± 0.03 mag) but exhibits a Balmer break and no nebular emission lines. The galaxy experienced a short starburst followed by rapid quenching; its stellar mass (4-6 × 10<sup>8</sup> M<sub>⊙</sub>) falls in a range that is sensitive to various feedback mechanisms, which can result in perhaps only temporary quenching.",https://doi.org/10.1038/s41586-024-07227-0
Nature,2024-Apr,Graphene nanoribbons grown in hBN stacks for high-performance electronics.,"Van der Waals encapsulation of two-dimensional materials in hexagonal boron nitride (hBN) stacks is a promising way to create ultrahigh-performance electronic devices<sup>1-4</sup>. However, contemporary approaches for achieving van der Waals encapsulation, which involve artificial layer stacking using mechanical transfer techniques, are difficult to control, prone to contamination and unscalable. Here we report the transfer-free direct growth of high-quality graphene nanoribbons (GNRs) in hBN stacks. The as-grown embedded GNRs exhibit highly desirable features being ultralong (up to 0.25 mm), ultranarrow (<5 nm) and homochiral with zigzag edges. Our atomistic simulations show that the mechanism underlying the embedded growth involves ultralow GNR friction when sliding between AA'-stacked hBN layers. Using the grown structures, we demonstrate the transfer-free fabrication of embedded GNR field-effect devices that exhibit excellent performance at room temperature with mobilities of up to 4,600 cm<sup>2</sup> V<sup>-1</sup> s<sup>-1</sup> and on-off ratios of up to 10<sup>6</sup>. This paves the way for the bottom-up fabrication of high-performance electronic devices based on embedded layered materials.",https://doi.org/10.1038/s41586-024-07243-0
Nature,2024-Apr,Evidence for chiral graviton modes in fractional quantum Hall liquids.,"Exotic physics could emerge from interplay between geometry and correlation. In fractional quantum Hall (FQH) states<sup>1</sup>, novel collective excitations called chiral graviton modes (CGMs) are proposed as quanta of fluctuations of an internal quantum metric under a quantum geometry description<sup>2-5</sup>. Such modes are condensed-matter analogues of gravitons that are hypothetical spin-2 bosons. They are characterized by polarized states with chirality<sup>6-8</sup> of +2 or -2, and energy gaps coinciding with the fundamental neutral collective excitations (namely, magnetorotons<sup>9,10</sup>) in the long-wavelength limit. However, CGMs remain experimentally inaccessible. Here we observe chiral spin-2 long-wavelength magnetorotons using inelastic scattering of circularly polarized lights, providing strong evidence for CGMs in FQH liquids. At filling factor v = 1/3, a gapped mode identified as the long-wavelength magnetoroton emerges under a specific polarization scheme corresponding to angular momentum S = -2, which persists at extremely long wavelength. Remarkably, the mode chirality remains -2 at v = 2/5 but becomes the opposite at v = 2/3 and 3/5. The modes have characteristic energies and sharp peaks with marked temperature and filling-factor dependence, corroborating the assignment of long-wavelength magnetorotons. The observations capture the essentials of CGMs and support the FQH geometrical description, paving the way to unveil rich physics of quantum metric effects in topological correlated systems.",https://doi.org/10.1038/s41586-024-07201-w
