Journal,Publication Date,Title,Abstract,DOI
Nature,"{'Year': '2025', 'Month': 'Feb', 'Day': '17'}",Characterization of single neurons reprogrammed by pancreatic cancer.,"The peripheral nervous system (PNS) orchestrates organ function in health and disease. Most cancers including pancreatic ductal adenocarcinoma (PDAC) are infiltrated by PNS neurons, contributing to the complex tumor microenvironment (TME)<sup>1,2</sup>. However, neuronal cell bodies reside in various PNS ganglia, far from the tumor mass. Thus, cancer or healthy organ-innervating neurons elude current tissue sequencing datasets. To molecularly characterize pancreas- and PDAC-innervating neurons at single cell resolution, we developed ""Trace-n-seq"". This method employs retrograde tracing of axons from tissues to their respective ganglia followed by single-cell isolation and transcriptomic analysis. By characterizing >5.000 individual sympathetic and sensory neurons with about 4.000 innervating PDAC or healthy pancreas we reveal novel neuronal cell types and unique molecular networks distinct to pancreas, pancreatitis, PDAC, or melanoma metastasis. We integrate single-cell datasets of innervating neurons and the TME to establish a neuro-cancer-microenvironment interactome, delineate cancer-driven neuronal reprogramming and generate a pancreatic cancer-nerve signature. Pharmacological denervation induces a proinflammatory TME and increases immune-checkpoint inhibitor effectiveness. Nab-Paclitaxel causes intra-tumor neuropathy which attenuated PDAC growth and in combination with sympathetic denervation results in synergistic tumor regression. Our multi-dimensional data reveal new insights into the networks and functions of PDAC-innervating neurons, supporting inclusion of denervation in future therapies.",https://doi.org/10.1038/s41586-025-08735-3
Nature,"{'Year': '2025', 'Month': 'Feb', 'Day': '17'}","Ambient-pressure superconductivity onset above 40 K in (La,Pr)<sub>3</sub>Ni<sub>2</sub>O<sub>7</sub> films.","The discovery of bilayer nickelate superconductors under high pressure has opened a new chapter in high-transition temperature (high-T<sub>C</sub>) superconductivity<sup>1-8</sup>. However, the high-pressure condition and presence of impurity phases have hindered comprehensive investigations into their superconducting properties and potential applications. Here, we report ambient-pressure superconductivity onset above the McMillan limit (40 K) in bilayer nickelate epitaxial thin films. Three-unit-cell (3UC) thick La<sub>2.85</sub>Pr<sub>0.15</sub>Ni<sub>2</sub>O<sub>7</sub> pure-phase single-crystal films are grown using the gigantic-oxidative atomic-layer-by-layer epitaxy (GOALL-Epitaxy) on SrLaAlO<sub>4</sub> substrates<sup>9</sup>. Resistivity measurements and magnetic-field responses indicate onset T<sub>C</sub> = 45 K. The transition to zero resistance exhibits characteristics consistent with a Berezinskii-Kosterlitz-Thouless (BKT)-like behavior, with T<sub>BKT</sub> = 9 K. Meissner diamagnetic effect is observed at T<sub>M</sub> = 8 K via a mutual inductance setup, in agreement with the BKT-like transition. In-plane and out-of-plane critical magnetic fields exhibit anisotropy. Scanning transmission electron microscopy (STEM) images and X-ray reciprocal space mappings (RSMs) reveal that the bilayer nickelate films adopt a tetragonal phase under ~2% coherent epitaxial compressive strain in the NiO<sub>2</sub> planes relative to the bulk. Our findings pave the way for comprehensive investigations of nickelate superconductors under ambient pressure conditions and for exploring superconductivity at higher transition temperature through strain engineering in heterostructures.",https://doi.org/10.1038/s41586-025-08755-z
Nature,"{'Year': '2025', 'Month': 'Feb', 'Day': '12'}",Topological segregation of stress sensors along the gut crypt-villus axis.,"The crypt-villus structure of the small intestine serves as an essential protective barrier. The integrity of this barrier is monitored by the complex sensory system of the gut, in which serotonergic enterochromaffin (EC) cells play an important part<sup>1,2</sup>. These rare sensory epithelial cells surveil the mucosal environment for luminal stimuli and transmit signals both within and outside the gut<sup>3-6</sup>. However, whether EC cells in crypts and villi detect different stimuli or produce distinct physiological responses is unknown. Here we address these questions by developing a reporter mouse model to quantitatively measure the release and propagation of serotonin from EC cells in live intestines. Crypt EC cells exhibit a tonic low-level mode that activates epithelial serotonin 5-HT<sub>4</sub> receptors to modulate basal ion secretion and a stimulus-induced high-level mode that activates 5-HT<sub>3</sub> receptors on sensory nerve fibres. Both these modes can be initiated by the irritant receptor TRPA1, which is confined to crypt EC cells. The activation of TRPA1 by luminal irritants is enhanced when the protective mucus layer is compromised. Villus EC cells also signal damage through a distinct mechanism, whereby oxidative stress activates TRPM2 channels, which leads to the release of both serotonin and ATP and consequent excitation of sensory nerve fibres. This topological segregation of EC cell functionality along the mucosal architecture constitutes a mechanism for the surveillance, maintenance and protection of gut integrity under diverse physiological conditions.",https://doi.org/10.1038/s41586-024-08581-9
Nature,"{'Year': '2025', 'Month': 'Feb', 'Day': '12'}",Intrinsic electrical activity drives small-cell lung cancer progression.,"Elevated or ectopic expression of neuronal receptors promotes tumour progression in many cancer types<sup>1,2</sup>; neuroendocrine (NE) transformation of adenocarcinomas has also been associated with increased aggressiveness<sup>3</sup>. Whether the defining neuronal feature, namely electrical excitability, exists in cancer cells and impacts cancer progression remains mostly unexplored. Small-cell lung cancer (SCLC) is an archetypal example of a highly aggressive NE cancer and comprises two major distinct subpopulations: NE cells and non-NE cells<sup>4,5</sup>. Here we show that NE cells, but not non-NE cells, are excitable, and their action potential firing directly promotes SCLC malignancy. However, the resultant high ATP demand leads to an unusual dependency on oxidative phosphorylation in NE cells. This finding contrasts with the properties of most cancer cells reported in the literature, which are non-excitable and rely heavily on aerobic glycolysis. Additionally, we found that non-NE cells metabolically support NE cells, a process akin to the astrocyte-neuron metabolite shuttle<sup>6</sup>. Finally, we observed drastic changes in the innervation landscape during SCLC progression, which coincided with increased intratumoural heterogeneity and elevated neuronal features in SCLC cells, suggesting an induction of a tumour-autonomous vicious cycle, driven by cancer cell-intrinsic electrical activity, which confers long-term tumorigenic capability and metastatic potential.",https://doi.org/10.1038/s41586-024-08575-7
Nature,"{'Year': '2025', 'Month': 'Feb', 'Day': '12'}",Global engineering effects of soil invertebrates on ecosystem functions.,"The biogenic structures produced by termites, ants and earthworms provide key functions across global ecosystems<sup>1,2</sup>. However, little is known about the drivers of the soil engineering effects caused by these small but important invertebrates<sup>3</sup> at the global scale. Here we show, on the basis of a meta-analysis of 12,975 observations from 1,047 studies on six continents, that all three taxa increase soil macronutrient content, soil respiration and soil microbial and plant biomass compared with reference soils. The effect of termites on soil respiration and plant biomass, and the effect of earthworms on soil nitrogen and phosphorus content, increase with mean annual temperature and peak in the tropics. By contrast, the effects of ants on soil nitrogen, soil phosphorus, plant biomass and survival rate peak at mid-latitude ecosystems that have the lowest primary productivity. Notably, termites and ants increase plant growth by alleviating plant phosphorus limitation in the tropics and nitrogen limitation in temperate regions, respectively. Our study highlights the important roles of these invertebrate taxa in global biogeochemical cycles and ecosystem functions. Given the importance of these soil-engineering invertebrates, biogeochemical models should better integrate their effects, especially on carbon fluxes and nutrient cycles.",https://doi.org/10.1038/s41586-025-08594-y
Nature,"{'Year': '2025', 'Month': 'Feb', 'Day': '12'}",Learned magnetic map cues and two mechanisms of magnetoreception in turtles.,"Growing evidence indicates that migratory animals exploit the magnetic field of the Earth for navigation, both as a compass to determine direction and as a map to determine geographical position<sup>1</sup>. It has long been proposed that, to navigate using a magnetic map, animals must learn the magnetic coordinates of the destination<sup>2,3</sup>, yet the pivotal hypothesis that animals can learn magnetic signatures of geographical areas has, to our knowledge, yet to be tested. Here we report that an iconic navigating species, the loggerhead turtle (Caretta caretta), can learn such information. When fed repeatedly in magnetic fields replicating those that exist in particular oceanic locations, juvenile turtles learned to distinguish magnetic fields in which they encountered food from magnetic fields that exist elsewhere, an ability that might underlie foraging site fidelity. Conditioned responses in this new magnetic map assay were unaffected by radiofrequency oscillating magnetic fields, a treatment expected to disrupt radical-pair-based chemical magnetoreception<sup>4-6</sup>, suggesting that the magnetic map sense of the turtle does not rely on this mechanism. By contrast, orientation behaviour that required use of the magnetic compass was disrupted by radiofrequency oscillating magnetic fields. The findings provide evidence that two different mechanisms of magnetoreception underlie the magnetic map and magnetic compass in sea turtles.",https://doi.org/10.1038/s41586-024-08554-y
Nature,"{'Year': '2025', 'Month': 'Feb', 'Day': '12'}",A metagenomic 'dark matter' enzyme catalyses oxidative cellulose conversion.,"The breakdown of cellulose is one of the most important reactions in nature<sup>1,2</sup> and is central to biomass conversion to fuels and chemicals<sup>3</sup>. However, the microfibrillar organization of cellulose and its complex interactions with other components of the plant cell wall poses a major challenge for enzymatic conversion<sup>4</sup>. Here, by mining the metagenomic 'dark matter' (unclassified DNA with unknown function) of a microbial community specialized in lignocellulose degradation, we discovered a metalloenzyme that oxidatively cleaves cellulose. This metalloenzyme acts on cellulose through an exo-type mechanism with C1 regioselectivity, resulting exclusively in cellobionic acid as a product. The crystal structure reveals a catalytic copper buried in a compact jelly-roll scaffold that features a flattened cellulose binding site. This metalloenzyme exhibits a homodimeric configuration that enables in situ hydrogen peroxide generation by one subunit while the other is productively interacting with cellulose. The secretome of an engineered strain of the fungus Trichoderma reesei expressing this metalloenzyme boosted the glucose release from pretreated lignocellulosic biomass under industrially relevant conditions, demonstrating its biotechnological potential. This discovery modifies the current understanding of bacterial redox enzymatic systems devoted to overcoming biomass recalcitrance<sup>5-7</sup>. Furthermore, it enables the conversion of agro-industrial residues into value-added bioproducts, thereby contributing to the transition to a sustainable and bio-based economy.",https://doi.org/10.1038/s41586-024-08553-z
Nature,"{'Year': '2025', 'Month': 'Feb', 'Day': '12'}",Learning produces an orthogonalized state machine in the hippocampus.,"Cognitive maps confer animals with flexible intelligence by representing spatial, temporal and abstract relationships that can be used to shape thought, planning and behaviour. Cognitive maps have been observed in the hippocampus<sup>1</sup>, but their algorithmic form and learning mechanisms remain obscure. Here we used large-scale, longitudinal two-photon calcium imaging to record activity from thousands of neurons in the CA1 region of the hippocampus while mice learned to efficiently collect rewards from two subtly different linear tracks in virtual reality. Throughout learning, both animal behaviour and hippocampal neural activity progressed through multiple stages, gradually revealing improved task representation that mirrored improved behavioural efficiency. The learning process involved progressive decorrelations in initially similar hippocampal neural activity within and across tracks, ultimately resulting in orthogonalized representations resembling a state machine capturing the inherent structure of the task. This decorrelation process was driven by individual neurons acquiring task-state-specific responses (that is, 'state cells'). Although various standard artificial neural networks did not naturally capture these dynamics, the clone-structured causal graph, a hidden Markov model variant, uniquely reproduced both the final orthogonalized states and the learning trajectory seen in animals. The observed cellular and population dynamics constrain the mechanisms underlying cognitive map formation in the hippocampus, pointing to hidden state inference as a fundamental computational principle, with implications for both biological and artificial intelligence.",https://doi.org/10.1038/s41586-024-08548-w
Nature,"{'Year': '2025', 'Month': 'Feb', 'Day': '12'}",Transcriptional adaptation upregulates utrophin in Duchenne muscular dystrophy.,"Duchenne muscular dystrophy (DMD) is a muscle-degenerating disease caused by mutations in the DMD gene, which encodes the dystrophin protein<sup>1,2</sup>. Utrophin (UTRN), the genetic and functional paralogue of DMD, is upregulated in some DMD patients<sup>3-5</sup>. To further investigate this UTRN upregulation, we first developed an inducible messenger RNA (mRNA) degradation system for DMD by introducing a premature termination codon (PTC) in one of its alternatively spliced exons. Inclusion of the PTC-containing exon triggers DMD mutant mRNA decay and UTRN upregulation. Notably, blocking nonsense-mediated mRNA decay results in the reversal of UTRN upregulation, whereas overexpressing DMD does not. Furthermore, overexpressing DMD<sup>PTC</sup> minigenes in wild-type cells causes UTRN upregulation, as does a wild-type DMD minigene containing a self-cleaving ribozyme. To place these findings in a therapeutic context, we used splice-switching antisense oligonucleotides (ASOs) to induce the skipping of out-of-frame exons of DMD, aiming to introduce PTCs. We found that these ASOs cause UTRN upregulation. In addition, when using an ASO to restore the DMD reading frame in myotubes derived from a DMD<sup>ΔE52</sup> patient, an actual DMD treatment, UTRN upregulation was reduced. Altogether, these results indicate that an mRNA decay-based mechanism called transcriptional adaptation<sup>6-8</sup> plays a key role in UTRN upregulation in DMD<sup>PTC</sup> patients, and they highlight an unexplored therapeutic application of ASOs, as well as ribozymes, in inducing genetic compensation via transcriptional adaptation.",https://doi.org/10.1038/s41586-024-08539-x
Nature,"{'Year': '2025', 'Month': 'Feb', 'Day': '12'}",External Li supply reshapes Li deficiency and lifetime limit of batteries.,"Lithium (Li) ions are central to the energy storing functionality of rechargeable batteries<sup>1</sup>. Present technology relies on sophisticated Li-inclusive electrode materials to provide Li ions and exactingly protect them to ensure a decent lifetime<sup>2</sup>. Li-deficient materials are thus excluded from battery design, and the battery fails when active Li ions are consumed<sup>3</sup>. Our study breaks this limit by means of a cell-level Li supply strategy. This involves externally adding an organic Li salt into an assembled cell, which decomposes during cell formation, liberating Li ions and expelling organic ligands as gases. This non-invasive and rapid process preserves cell integrity without necessitating disassembly. We leveraged machine learning to discover such functional salts and identified lithium trifluoromethanesulfinate (LiSO<sub>2</sub>CF<sub>3</sub>) with optimal electrochemical activity, potential, product formation, electrolyte solubility and specific capacity. As a proof-of-concept, we demonstrated a 3.0 V, 1,192 Wh kg<sup>-1</sup> Li-free cathode, chromium oxide, in the anode-less cell, as well as an organic sulfurized polyacrylonitrile cathode incorporated in a 388 Wh kg<sup>-1</sup> pouch cell with a 440-cycle life. These systems exhibit improved energy density, enhanced sustainability and reduced cost compared with conventional Li-ion batteries. Furthermore, the lifetime of commercial LiFePO<sub>4</sub> batteries was extended by at least an order of magnitude. With repeated external Li supplies, a commercial graphite|LiFePO<sub>4</sub> cell displayed a capacity retention of 96.0% after 11,818 cycles.",https://doi.org/10.1038/s41586-024-08465-y
