Journal,Publication Date,Title,Abstract,DOI
{'mBio'},"{'Year': '2025', 'Month': 'Feb', 'Day': '18'}",Identification of two glycosyltransferases required for synthesis of membrane glycolipids in <i>Clostridioides difficile</i>.,"<i>Clostridioides difficile</i> infections cause over 12,000 deaths and an estimated one billion dollars in healthcare costs annually in the United States. The cell membrane is an essential structure that is important for protection from the extracellular environment, signal transduction, and transport of nutrients. The polar membrane lipids of <i>C. difficile</i> are ~50% glycolipids, a higher percentage than most other organisms. The glycolipids of <i>C. difficile</i> consist of monohexosyldiradylglycerol (MHDRG) (~14%), dihexosyldiradylglycerol (DHDRG) (~15%), trihexosyldiradylglycerol (THDRG) (~5%), and a unique glycolipid aminohexosyl-hexosyldiradylglycerol (HNHDRG) (~16%). Previously, we found that HexSDF are required for the synthesis of HNHDRG. The enzymes required for the synthesis of MHDRG, DHDRG, and THDRG are not known. In this study, we identified the glycosyltransferases UgtA (CDR20291_0008), which is required for the synthesis of all glycolipids, and UgtB (CDR20291_1186), which is required for the synthesis of DHDRG and THDRG. We propose a model where UgtA synthesizes only MHDRG, HexSDF synthesize HNHDRG from MHDRG, and UgtB synthesizes DHDRG and potentially THDRG from MHDRG. We also report that glycolipids are important for critical cell functions, including sporulation, cell size and morphology, maintaining membrane fluidity, colony morphology, and resistance to some membrane-targeting antimicrobials.",https://doi.org/10.1128/mbio.03512-24
{'mBio'},"{'Year': '2025', 'Month': 'Feb', 'Day': '18'}",The Na<sup>+</sup>-K<sup>+</sup>-ATPase alpha subunit is an entry receptor for white spot syndrome virus.,"White spot syndrome virus (WSSV) is a debilitating viral pathogen that poses a significant threat to the global crustacean farming industry. It has a wide host tropism because it uses several receptors to facilitate its attachment and entry. Thus far, not all the receptors have been identified. Here, we employed a BioID-based screening method to identify the Na<sup>+</sup>-K<sup>+</sup>-ATPase alpha subunit (<i>Pv</i>ATP1A) as a potential receptor in <i>Penaeus vannamei</i>. Although during the early stages of WSSV infection<i>, Pv</i>ATP1A was induced and underwent oligomerization, clustering, and internalization, knockdown of <i>Pv</i>ATP1A inhibited viral entry and replication. <i>Pv</i>ATP1A interacted with the WSSV envelope protein VP28 through its multiple extracellular regions, whereas synthetic <i>Pv</i>ATP1A extracellular region peptides blocked WSSV entry and replication. We showed that <i>Pv</i>ATP1A did not affect WSSV attachment but facilitated internalization via caveolin-mediated endocytosis and macropinocytosis. These findings provide a robust receptor screening approach that identified <i>Pv</i>ATP1A as an entry receptor for WSSV, presenting a novel target for the development of anti-WSSV therapeutics.",https://doi.org/10.1128/mbio.03787-24
{'mBio'},"{'Year': '2025', 'Month': 'Feb', 'Day': '18'}",Gene regulatory network resource aids in predicting trans-acting regulators of biosynthetic gene clusters in <i>Aspergillus fumigatus</i>.,"The field of secondary metabolism has greatly benefitted from computational advances in recent years. This has been particularly true for fungal natural product studies. Strides in genome mining have led to the identification of an extraordinary number of secondary metabolite biosynthetic gene clusters (BGCs) across the fungal Kingdom and metabologenomic platforms can group BGCs into gene cluster families and link them to initial chemical structures. Missing are computational applications focused on identifying BGC regulatory networks. Here, we applied the new online gene regulatory network resource, GRAsp (<u>G</u>ene <u>R</u>egulation of <i><u>Asp</u>ergillus fumigatus</i>), to identify unknown and unpredictable BGC trans-acting transcriptional/metabolite production modules. GRAsp correctly predicted a two-component regulatory module composed of the transcription factors (TFs), RogA (<u>r</u>egulation <u>o</u>f <u>g</u>liotoxin) and HsfA, which negatively regulate the gliotoxin BGC and are also involved in gliotoxin self-protection. RogA functions through the repression of <i>gliZ,</i> the pathway-specific gliotoxin TF, and HsfA functions by activating <i>rogA</i> expression. Furthermore, GRAsp identified TFs that regulate the production of two BGCs lacking pathway-specific TFs, the helvolic acid and fumitremorgin BGCs, respectively. Finally, the known TF, NsdD, was predicted and found to regulate the hexadehydroastechrome BGC. These advances highlight the power of inference algorithms to uncover unpredictable networks in specialized metabolite synthesis.IMPORTANCEToxic secondary metabolites are virulence factors of the opportunistic fungal pathogen <i>Aspergillus fumigatus,</i> yet the transcriptional networks regulating secondary metabolite production remain elusive. Uncovering novel regulators without any prior information is challenging. Computational programs have gained prominence in the field of secondary metabolite research due to their accuracy and ability to handle vast amounts of data, including DNA, RNA, and protein data. In this study, a newly developed online computer platform, Gene Regulation of <i>A. fumigatus</i>, was used to identify five regulators involved in the production of several <i>A. fumigatus</i> toxins, including gliotoxin, helvolic acid, fumitremorgin, and hexadehydroastechrome. This work illustrates the potential for discovering new trans-acting regulators and mechanisms of secondary metabolite regulation through the examination of computational gene regulatory networks.",https://doi.org/10.1128/mbio.03874-24
{'mBio'},"{'Year': '2025', 'Month': 'Feb', 'Day': '14'}",Rickettsial pathogen augments tick vesicular-associated membrane proteins for infection and survival in the vector host.,"<i>Anaplasma phagocytophilum</i> is an obligate intracellular rickettsial pathogen that infects humans and animals. The black-legged tick <i>Ixodes scapularis</i> acts as a vector and transmits this bacterium to the vertebrate host. Upon entry into a host cell, <i>A. phagocytophilum</i> resides and multiplies in a host-derived vacuole called morulae. There is not much information available on the molecules that play an important role(s) in <i>A. phagocytophilum</i> entry and formation of these morulae in tick cells. In this study, we provide evidence that tick vesicular-associated membrane proteins, VAMP3 and VAMP4, play important roles in this phenomenon. Quantitative real-time polymerase chain reaction (QRT-PCR) analysis showed that both <i>vamp3</i> and <i>vamp4</i> transcripts are significantly upregulated at early time points of <i>A. phagocytophilum</i> infection in tick cells. We noted that both VAMP3 and VAMP4 predominantly localized to the <i>A. phagocytophilum</i>-containing vacuole. RNAi-mediated silencing of <i>vamp3</i> and/or <i>vamp4</i> expression, followed by confocal microscopy and expression analysis, indicated an impairment in <i>A. phagocytophilum</i> morulae formation in tick cells. We also noted that VAMP3 and VAMP4 play a role in the <i>A. phagocytophilum</i> persistent infection of ticks and tick cells. Furthermore, RNAi-mediated silencing of expression of arthropod <i>vamp3</i> and <i>vamp4</i> affected bacterial acquisition from an infected murine host to ticks. Collectively, this study not only provides evidence on the role of arthropod vesicular-associated membrane proteins in <i>A. phagocytophilum</i> morulae formation in tick cells but also demonstrates that these proteins are important for bacterial acquisition from an infected vertebrate host into ticks.",https://doi.org/10.1128/mbio.03549-24
{'mBio'},"{'Year': '2025', 'Month': 'Feb', 'Day': '14'}",Capsular polysaccharide enables <i>Klebsiella pneumoniae</i> to evade phagocytosis by blocking host-bacteria interactions.,"Capsule polysaccharide (CPS) is among the most important virulence factors of <i>Klebsiella pneumoniae</i>. Previous studies demonstrated that CPS plays multiple functional roles, but the mechanism by which this virulence factor enhances the survival fitness of <i>K. pneumoniae</i> remains unclear. In this work, we demonstrate that CPS is the main cellular component that not only elicits the host immune response to <i>K. pneumoniae</i> but also enables this pathogen to survive for a prolonged period under adverse environmental conditions. Consistently, our <i>in vitro</i> experiments suggest that CPS prevents <i>K. pneumoniae</i> from phagocytosis, rendering the encapsulated strain more difficult to be eradicated by the host. We also found that phagocytosis of <i>K. pneumoniae</i> is partially mediated by LOX-1, a scavenger receptor of the host, and that CPS may impede interaction between LOX-1 and this pathogenic bacteria, therefore reducing the phagocytosis process. These findings provide insights into the pathogenic mechanisms of this important clinical pathogen and should facilitate the design of new strategies to combat <i>K. pneumoniae</i> infections.",https://doi.org/10.1128/mbio.03838-24
{'mBio'},"{'Year': '2025', 'Month': 'Feb', 'Day': '13'}",Persistent delay in maturation of the developing gut microbiota in infants with cystic fibrosis.,"The healthy human infant gut microbiome undergoes stereotypical changes in taxonomic composition between birth and maturation to an adult-like stable state. During this time, extensive communication between microbiota and the host immune system contributes to health status later in life. Although there are many reported associations between microbiota compositional alterations and disease in adults, less is known about how microbiome development is altered in pediatric diseases. One pediatric disease linked to altered gut microbiota composition is cystic fibrosis (CF), a multi-organ genetic disease involving impaired chloride secretion across epithelia and heightened inflammation both in the gut and at other body sites. Here, we use shotgun metagenomics to profile the strain-level composition and developmental dynamics of the infant fecal microbiota from several CF and non-CF longitudinal cohorts spanning from birth to greater than 36 months of life. We identify a set of keystone species that define microbiota development in early life in non-CF infants but are missing or decreased in relative abundance in infants with CF, resulting in a delayed pattern of microbiota maturation, persistent entrenchment in a transitional developmental phase, and subsequent failure to attain an adult-like stable microbiota. Delayed maturation is strongly associated with cumulative antibiotic treatments, and we also detect the increased relative abundance of oral-derived bacteria and higher levels of fungi in infants with CF, features that are associated with decreased gut bacterial density. These findings suggest the potential for future directed therapies targeted at overcoming developmental delays in microbiota maturation for infants with CF.IMPORTANCEThe human gastrointestinal tract harbors a diversity of microbes that colonize upon birth and collectively contribute to host health throughout life. Infants with the disease cystic fibrosis (CF) harbor altered gut microbiota compared to non-CF counterparts, with lower levels of beneficial bacteria. How this altered population is established in infants with CF and how it develops over the first years of life is not well understood. By leveraging multiple large non-CF infant fecal metagenomic data sets and samples from a CF cohort collected prior to highly effective modulator therapy, we define microbiome maturation in infants up to 3 years of age. Our findings identify conserved age-diagnostic species in the non-CF infant microbiome that are diminished in abundance in CF counterparts that instead exhibit an enrichment of oral-derived bacteria and fungi associated with antibiotic exposure. Together, our study builds toward microbiota-targeted therapy to restore healthy microbiota dynamics in infants with CF.",https://doi.org/10.1128/mbio.03420-24
{'mBio'},"{'Year': '2025', 'Month': 'Feb', 'Day': '11'}",The DnaJK chaperone of <i>Bacillus subtilis</i> post-transcriptionally regulates gene expression through the YlxR(RnpM)/RNase P complex.,"To survive in harsh natural environments, translation and mRNA metabolism must be tightly and coordinately controlled, as saving biological costs increases fitness. However, the roles of protein chaperones in this control system are unclear. This study proposes the novel aspect of the link between translation and mRNA metabolism, that is, the co-translational DnaJK chaperone activity is involved in changes in mRNA metabolism by RNase P. We found that the expression of <i>proBA,</i> which encodes proline biosynthetic enzymes, is regulated by <i>ylxR</i>(<i>rnpM</i>) through the <i>proBA</i> promoter. YlxR(RnpM), which is associated with RNase P, was also involved in the posttranscriptional regulation of <i>proBA</i>. To clarify this posttranscriptional regulation, we screened transposon (Tn)-inserted mutants for cells with low <i>proB::lacZ</i> expression and identified the DnaJK chaperone as a regulator of <i>proB</i>. To explore the possibility that the complex of YlxR(RnpM) and RNase P might work with DnaJK, we performed an epistatic analysis using the <i>lacZ</i> fusions, which revealed that the regulation of <i>proB</i> by DnaJK/YlxR(RnpM)/RNase P, that is, co-translational chaperone activity, controlled mRNA metabolism. RNA sequencing analysis of cells deficient in the RNA component of RNase P (<i>rnpB</i>) revealed that 261 genes were upregulated in the <i>rnpB</i>::Tn strain. Among them, we identified <i>yoyD/yodF, besA</i>, and <i>epeXE,</i> which were also under the control of DnaJK/YlxR(RnpM)/RNase P regulatory cascade. Finally, we performed yeast two-hybrid analysis using DnaK as bait and identified two genes, <i>spoIVCA</i> and <i>nupG</i>, whose expression was post-transcriptionally regulated by DnaJK but independent of YlxR(RnpM). These results suggest a broader role for posttranscriptional gene regulation by DnaJK.IMPORTANCE<i>Bacillus subtilis</i> lacking the DnaJK chaperone has not been reported to exhibit a distinct phenotype. However, our study revealed proline-dependent growth in a minimal medium in the <i>dnaJ</i>::Tn strain. Inhibition of <i>spoIVCA</i> expression in this strain was identified as a probable cause of the sporulation deficiency in previous and current studies using a single cell-level analysis. We also observed posttranscriptional regulation of <i>proBA</i> by the DnaJK and YlxR(RnpM)/RNase P complex. LacZ analyses of <i>proB::lacZ</i> in different backgrounds suggested that the above regulation ultimately functions in mRNA metabolism. In DnaJK-deficient cells, the nascent peptide may be misfolded, and if DnaJK chaperone activity is lost, such a signal may be transferred to RNase P. Therefore, <i>proBA</i> mRNA may be degraded in an RNase P-dependent manner if the misfolding of the polypeptide translated from this mRNA is detected. This system is useful for reducing the biological costs of futile mRNA elongation.",https://doi.org/10.1128/mbio.04053-24
{'mBio'},"{'Year': '2025', 'Month': 'Feb', 'Day': '11'}",mGem: Transmission and exposure risks of dairy cow H5N1 influenza virus.,"In March 2024, highly pathogenic H5N1 was detected in dairy cows; as of 12 December 2024, it had spread to over 800 herds in 16 states. The ongoing outbreak is a public health crisis affecting both humans and animals, as interspecies transmission has emerged as a common characteristic of this virus. As of 12 December 2024, >30 humans have been infected in the United States related to dairy cow exposure. In this mGem, we discuss transmission modalities between cows within herds, the spread of the virus between dairy farms, and exposure risks for humans. We also highlight major gaps in knowledge constituting barriers to our ability to effectively control the spread of H5N1 in dairy cows and reduce the risks to humans.",https://doi.org/10.1128/mbio.02944-24
{'mBio'},"{'Year': '2025', 'Month': 'Feb', 'Day': '11'}","mGem: The complexity of viral entry-one virus, many receptors.","Binding to cellular receptors initiates viral replication and dictates sites in the host infected by the virus. As illustrated by mammalian orthoreovirus (reovirus), viruses can bind several types of receptors using distinct capsid components to facilitate the viral entry steps of attachment, internalization, and disassembly. The outer of the two concentric capsids of reovirus virions is formed by four viral proteins, three of which bind receptors. These capsid-receptor interactions mediate stepwise entry of reovirus, dictate viral tropism in infected animals, and expand the viral host range. Engagement of independent receptors by different capsid proteins is a property of many pathogenic viruses and illustrates common themes of receptor use in viral entry and disease.",https://doi.org/10.1128/mbio.02964-24
{'mBio'},"{'Year': '2025', 'Month': 'Feb', 'Day': '11'}",Identification of intratumoral bacteria that enhance breast tumor metastasis.,"The central, mortality-associated hallmark of cancer is the process of metastasis. It is increasingly recognized that bacteria influence multiple facets of cancer progression, but the extent to which tumor microenvironment-associated bacteria control metastasis in cancer is poorly understood. To identify tumor-associated bacteria and their role in metastasis, we utilized established murine models of non-metastatic and metastatic breast tumors to identify bacteria capable of driving metastatic disease. We found several species of the <i>Bacillus</i> genus that were unique to metastatic tumors, and found that breast tumor cells cultured with a <i>Bacillus</i> bacterium isolated from metastatic tumors, <i>Bacillus thermoamylovorans</i>, produced nearly 3× the metastatic burden as control cells or cells cultured with bacteria from non-metastatic breast tumors. We then performed targeted metabolomics on tumor cells cultured with different bacterial species and found that <i>B. thermoamylovorans</i> differentially regulated tumor cell metabolite profiles compared to bacteria isolated from non-metastatic tumors. Using these bacteria, we performed <i>de novo</i> sequencing and tested for the presence of genes that were unique to the bacterium isolated from metastatic tumors in a patient population to provide a proof-of-concept for identifying how specific bacterial functions are associated with the metastatic process in cancer independent of bacterial species. Together, our data directly demonstrate the ability of specific bacteria to promote metastasis through interaction with cancer cells.",https://doi.org/10.1128/mbio.03595-24
