Journal,Publication Date,Title,Abstract,DOI
Nature,2025-Jun-18,Kupffer cell programming by maternal obesity triggers fatty liver disease.,"Kupffer cells (KCs) are tissue-resident macrophages that colonize the liver early during embryogenesis<sup>1</sup>. Upon liver colonization, KCs rapidly acquire a tissue-specific transcriptional signature, mature alongside the developing liver and adapt to its functions<sup>1-3</sup>. Throughout development and adulthood, KCs perform distinct core functions that are essential for liver and organismal homeostasis, including supporting fetal erythropoiesis, postnatal erythrocyte recycling and liver metabolism<sup>4</sup>. However, whether perturbations of macrophage core functions during development contribute to or cause disease at postnatal stages is poorly understood. Here, we utilize a mouse model of maternal obesity to perturb KC functions during gestation. We show that offspring exposed to maternal obesity develop fatty liver disease, driven by aberrant developmental programming of KCs that persists into adulthood. Programmed KCs promote lipid uptake by hepatocytes through apolipoprotein secretion. KC depletion in neonate mice born to obese mothers, followed by replenishment with naive monocytes, rescues fatty liver disease. Furthermore, genetic ablation of the gene encoding hypoxia-inducible factor-α (HIF1α) in macrophages during gestation prevents the metabolic programming of KCs from oxidative phosphorylation to glycolysis, thereby averting the development of fatty liver disease. These results establish developmental perturbation of KC functions as a causal factor in fatty liver disease in adulthood and position fetal-derived macrophages as critical intergenerational messengers within the concept of developmental origins of health and diseases<sup>5</sup>.",https://doi.org/10.1038/s41586-025-09190-w
Nature,2025-Jun-18,Morphodynamics of human early brain organoid development.,"Brain organoids enable the mechanistic study of human brain development and provide opportunities to explore self-organization in unconstrained developmental systems<sup>1-3</sup>. Here we establish long-term, live light-sheet microscopy on unguided brain organoids generated from fluorescently labelled human induced pluripotent stem cells, which enables tracking of tissue morphology, cell behaviours and subcellular features over weeks of organoid development<sup>4</sup>. We provide a novel dual-channel, multi-mosaic and multi-protein labelling strategy combined with a computational demultiplexing approach to enable simultaneous quantification of distinct subcellular features during organoid development. We track actin, tubulin, plasma membrane, nucleus and nuclear envelope dynamics, and quantify cell morphometric and alignment changes during tissue-state transitions including neuroepithelial induction, maturation, lumenization and brain regionalization. On the basis of imaging and single-cell transcriptome modalities, we find that lumenal expansion and cell morphotype composition within the developing neuroepithelium are associated with modulation of gene expression programs involving extracellular matrix pathway regulators and mechanosensing. We show that an extrinsically provided matrix enhances lumen expansion as well as telencephalon formation, and unguided organoids grown in the absence of an extrinsic matrix have altered morphologies with increased neural crest and caudalized tissue identity. Matrix-induced regional guidance and lumen morphogenesis are linked to the WNT and Hippo (YAP1) signalling pathways, including spatially restricted induction of the WNT ligand secretion mediator (WLS) that marks the earliest emergence of non-telencephalic brain regions. Together, our work provides an inroad into studying human brain morphodynamics and supports a view that matrix-linked mechanosensing dynamics have a central role during brain regionalization.",https://doi.org/10.1038/s41586-025-09151-3
Nature,2025-Jun-18,Gut inflammation promotes microbiota-specific CD4 T cell-mediated neuroinflammation.,"The microbiota has been recognized as a critical contributor to various diseases<sup>1</sup>, with multiple reports of changes in the composition of the gut microbiome in contexts such as inflammatory bowel disease<sup>2,3</sup> and neurodegenerative diseases<sup>4</sup>. These microbial shifts can exert systemic effects by altering the release of specific metabolites into the bloodstream<sup>5,6</sup>, and the gastrointestinal microbiota has also been reported to exhibit immunomodulatory activity through the activation of innate and adaptive immunity<sup>7,8</sup>. However, it remains unclear how the microbiota contributes to inflammation in the central nervous system (CNS), where these microorganisms are typically absent. Here we report that T cells that recognize gut-colonizing segmented filamentous bacteria can induce inflammation in the mouse intestine and CNS in the absence of functional regulatory T cells. Gut commensal-specific CD4 T cells (T<sub>comm</sub> cells) that are dysregulated in the inflamed gut can become licensed to infiltrate into the CNS regardless of their antigen specificity and have the potential to be re-stimulated by host protein-derived antigens in the CNS via molecular mimicry, whereupon they produce high levels of GM-CSF, IFNγ and IL-17A, triggering neurological damage. These infiltrated T<sub>comm</sub> cells initiate CNS inflammation by activating microglia through their IL-23R-dependent encephalitogenic programme and their IL-23R-independent GM-CSF production. Together, our findings reveal potential mechanisms whereby perturbation of T<sub>comm</sub> cells can contribute to extraintestinal inflammation.",https://doi.org/10.1038/s41586-025-09120-w
Nature,2025-Jun-18,Unsupervised pretraining in biological neural networks.,"Representation learning in neural networks may be implemented with supervised or unsupervised algorithms, distinguished by the availability of instruction. In the sensory cortex, perceptual learning drives neural plasticity<sup>1-13</sup>, but it is not known whether this is due to supervised or unsupervised learning. Here we recorded populations of up to 90,000 neurons simultaneously from the primary visual cortex (V1) and higher visual areas (HVAs) while mice learned multiple tasks, as well as during unrewarded exposure to the same stimuli. Similar to previous studies, we found that neural changes in task mice were correlated with their behavioural learning. However, the neural changes were mostly replicated in mice with unrewarded exposure, suggesting that the changes were in fact due to unsupervised learning. The neural plasticity was highest in the medial HVAs and obeyed visual, rather than spatial, learning rules. In task mice only, we found a ramping reward-prediction signal in anterior HVAs, potentially involved in supervised learning. Our neural results predict that unsupervised learning may accelerate subsequent task learning, a prediction that we validated with behavioural experiments.",https://doi.org/10.1038/s41586-025-09180-y
Nature,2025-Jun-18,Allosteric modulation and biased signalling at free fatty acid receptor 2.,"Free fatty acid receptor 2 (FFA2) is a G protein-coupled receptor (GPCR) that is a primary sensor for short-chain fatty acids produced by gut microbiota. Consequently, FFA2 is a promising drug target for immunometabolic disorders<sup>1-4</sup>. Here we report cryogenic electronic microscopy structures of FFA2 in complex with two G proteins and three distinct classes of positive allosteric modulators (PAMs), and describe noncanonical activation mechanisms that involve conserved structural features of class A GPCRs. Two PAMs disrupt the E/DRY activation microswitch<sup>5</sup> and stabilize the conformation of intracellular loop 2 by binding to lipid-facing pockets near the cytoplasmic side of the receptor. By contrast, the third PAM promotes the separation of transmembrane helices 6 and 7 by interacting with transmembrane helix 6 at the receptor-lipid interface. Molecular dynamic simulations and mutagenesis experiments confirm these noncanonical activation mechanisms. Furthermore, we demonstrate the molecular basis for the G<sub>i</sub> versus G<sub>q</sub> bias, which is due to distinct conformations of intracellular loop 2 stabilized by different PAMs. These findings provide a framework for the design of tailored GPCR modulators, with implications that extend beyond FFA2 to the broader field of GPCR drug discovery.",https://doi.org/10.1038/s41586-025-09186-6
Nature,2025-Jun-18,Major expansion in the human niche preceded out of Africa dispersal.,"All contemporary Eurasians trace most of their ancestry to a small population that dispersed out of Africa about 50,000 years ago (ka)<sup>1-9</sup>. By contrast, fossil evidence attests to earlier migrations out of Africa<sup>10-15</sup>. These lines of evidence can only be reconciled if early dispersals made little to no genetic contribution to the later, major wave. A key question therefore concerns what factors facilitated the successful later dispersal that led to long-term settlement beyond Africa. Here we show that a notable expansion in human niche breadth within Africa precedes this later dispersal. We assembled a pan-African database of chronometrically dated archaeological sites and used species distribution models (SDMs) to quantify changes in the bioclimatic niche over the past 120,000 years. We found that the human niche began to expand substantially from 70 ka and that this expansion was driven by humans increasing their use of diverse habitat types, from forests to arid deserts. Thus, humans dispersing out of Africa after 50 ka were equipped with a distinctive ecological flexibility among hominins as they encountered climatically challenging habitats, providing a key mechanism for their adaptive success.",https://doi.org/10.1038/s41586-025-09154-0
Nature,2025-Jun-18,Targeting de novo purine biosynthesis for tuberculosis treatment.,"Tuberculosis remains the leading cause of death from an infectious disease<sup>1,2</sup>. Here we report the discovery of a first-in-class small-molecule inhibitor targeting PurF, the first enzyme in the mycobacterial de novo purine biosynthesis pathway. The lead candidate, JNJ-6640, exhibited nanomolar bactericidal activity in vitro. Comprehensive genetic and biochemical approaches confirmed that JNJ-6640 was highly selective for mycobacterial PurF. Single-cell-level microscopy demonstrated a downstream effect on DNA replication. We determined the physiologically relevant concentrations of nucleobases in human and mouse lung tissue, showing that these levels were insufficient to salvage PurF inhibition. Indeed, proof-of-concept studies using a long-acting injectable formulation demonstrated the in vivo efficacy of the compound. Finally, we show that inclusion of JNJ-6640 could have a crucial role in improving current treatment regimens for drug-resistant tuberculosis. Together, we demonstrate that JNJ-6640 is a promising chemical lead and that targeting de novo purine biosynthesis represents a novel strategy for tuberculosis drug development.",https://doi.org/10.1038/s41586-025-09177-7
Nature,2025-Jun-18,R9AP is a common receptor for EBV infection in epithelial cells and B cells.,"Epstein-Barr virus (EBV) persistently infects more than 90% of the human population, causing infectious mononucleosis<sup>1</sup>, susceptibility to autoimmune diseases<sup>2</sup> and multiple malignancies of epithelial or B cell-origin<sup>3</sup>. EBV infects epithelial cells and B cells through interaction between viral glycoproteins and different host receptors<sup>4</sup>, but it has remained unknown whether a common receptor mediates infection of its two major host cell targets. Here, we establish R9AP as a crucial EBV receptor for entry into epithelial and B cells. R9AP silencing or knockout, R9AP-derived peptide and R9AP monoclonal antibody each significantly inhibit, whereas R9AP overexpression promotes, EBV uptake into both cell types. R9AP binds directly to the EBV glycoprotein gH/gL complex to initiate gH/gL-gB-mediated membrane fusion. Notably, the interaction of R9AP with gH/gL is inhibited by the highly competitive gH/gL-neutralizing antibody AMMO1, which blocks EBV epithelial and B cell entry. Moreover, R9AP mediates viral and cellular membrane fusion in cooperation with EBV gp42-human leukocyte antigen class II or gH/gL-EPHA2 complexes in B cells or epithelial cells, respectively. We propose R9AP as the crucial common receptor of B cells and epithelial cells and a potential prophylactic and vaccine target for EBV.",https://doi.org/10.1038/s41586-025-09166-w
Nature,2025-Jun-18,Bioinspired capillary force-driven super-adhesive filter.,"Capturing particles with low, nanonewton-scale adhesion is an ongoing challenge for conventional air filters<sup>1,2</sup>. Inspired by the natural filtration abilities of mucus-coated nasal hairs<sup>3,4</sup>, we introduce an efficient, biomimetic filter that exploits a thin liquid coating. Here we show that a stable thin liquid layer is formed on several filter media that generates enhanced particulate adhesion, driven by micronewton to sub-micronewton capillary forces<sup>5,6</sup>. Enhanced particle adhesion increases the filtration of airborne particulates while maintaining air permeability, providing longer filter lifetime and increased energy savings. Moreover, strong adhesion of the captured particles enables effective filtration under high-speed airflow as well as suppression of particle redispersion. We anticipate that these filters with thin liquid layers afford a new way to innovate particulate matter filtering systems.",https://doi.org/10.1038/s41586-025-09156-y
Nature,2025-Jun-18,Optical nonlinearities in excess of 500 through sublattice reconstruction.,"The ability of materials to respond to stimuli with significant optical nonlinearity is crucial for technological advancement and innovation<sup>1-3</sup>. Although photon-avalanche upconversion nanomaterials with nonlinearities exceeding 60 have been developed, further enhancement remains challenging<sup>4-6</sup>. Here we present a method to increase photon-avalanche nonlinearity beyond 500 by reconstructing the sublattice and extending the avalanche network. We demonstrate that lutetium substitution in the host material induces significant local crystal field distortions. These distortions strengthen cross-relaxation, the key process governing population accumulation. As a result, the optical nonlinearity is significantly amplified, enabling sub-diffraction imaging through single-beam scanning microscopy, achieving lateral and axial resolutions of 33 nm (about 1/32 of λ<sub>Exc</sub>) and 80 nm (around 1/13 of λ<sub>Exc</sub>), respectively (where λ<sub>Exc</sub> is the excitation wavelength). Moreover, our research shows regional differentiation within photon-avalanche nanocrystals, in which photon-avalanche performance varies across different regions at the single-nanoparticle level. This effect, coupled with extreme optical nonlinearity, enables visualization of nanoemitters at resolutions beyond their physical size using simple instrumentation. These advancements open new possibilities for super-resolution imaging, ultra-sensitive sensing, on-chip optical switching and infrared quantum counting.",https://doi.org/10.1038/s41586-025-09164-y
